Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No.of.Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg.Price,Pur.Vol.No.Promo,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1057500,3,3,4,2,3,4,5,2,1,10,3,12,16100,27,1549,2.25,596.3,9.62,91%,0%,9%,29%,29%,0%,0%,0%,0%,0%,0%,41.90%,0%,71%,29%,0%,44%,4%,20%,0%,0%,0%,0%,0%,0%,29%,4%
1057510,4,3,10,2,3,4,8,2,1,13,3,10,24560,46,1951,4.6,533.91,7.94,98%,0%,2%,13%,34%,0%,0%,0%,0%,0%,0%,52.80%,18%,16%,34%,33%,48%,0%,0%,0%,18%,0%,0%,0%,0%,34%,0%
1057550,4,3,17,2,3,3,9,3,0,7,4,24,16225,33,1488,1.38,491.67,9.17,74%,23%,2%,2%,11%,5%,0%,0%,0%,0%,0%,81.80%,17%,70%,11%,2%,72%,0%,5%,7%,0%,0%,0%,0%,0%,11%,5%
1057580,4,3,10,2,2,3,5,2,2,11,3,21,11775,35,1058.5,1.67,336.43,8.99,95%,5%,0%,12%,6%,0%,0%,0%,0%,0%,0%,81.70%,27%,20%,13%,40%,55%,3%,8%,0%,19%,0%,0%,0%,0%,13%,3%
1057800,4,3,8,2,2,4,5,4,1,15,5,23,16975,44,1649,1.91,385.8,9.71,90%,10%,0%,4%,0%,1%,4%,0%,4%,0%,0%,88.50%,6%,70%,2%,22%,80%,10%,0%,5%,0%,0%,4%,0%,0%,2%,0%
1057930,4,3,5,2,1,5,7,1,1,27,5,34,19425,55,3079.5,1.62,353.18,15.85,94%,2%,4%,2%,0%,0%,2%,8%,0%,0%,14%,73.40%,55%,37%,2%,6%,15%,51%,5%,1%,5%,2%,0%,1%,18%,2%,1%
1058000,4,3,15,2,3,4,5,3,1,11,4,11,11450,28,1179,2.55,408.93,10.3,95%,0%,5%,14%,0%,0%,0%,0%,1%,7%,0%,77.70%,3%,97%,0%,0%,89%,0%,7%,0%,3%,0%,1%,0%,0%,0%,0%
1058010,3,3,15,2,2,5,4,1,1,13,4,30,12000,62,1331,2.07,193.55,11.09,91%,5%,4%,4%,0%,0%,0%,0%,1%,12%,0%,83.50%,12%,70%,2%,17%,40%,3%,42%,6%,8%,0%,1%,0%,0%,2%,0%
1058190,4,3,10,2,2,5,5,2,1,8,3,18,9950,43,834.5,2.39,231.4,8.39,78%,13%,8%,5%,14%,0%,0%,0%,0%,0%,0%,81.40%,17%,19%,14%,51%,57%,0%,0%,5%,17%,0%,0%,0%,0%,14%,7%
1058350,4,3,10,2,2,1,5,2,0,4,3,5,16800,24,1067.5,4.8,700,6.35,100%,0%,0%,13%,84%,0%,0%,0%,0%,0%,0%,3.00%,0%,13%,84%,3%,16%,0%,0%,0%,0%,0%,0%,0%,0%,84%,0%
1058370,3,1,10,2,3,4,4,3,1,7,4,12,14375,36,1382,3,399.31,9.61,100%,0%,0%,17%,23%,0%,0%,0%,0%,10%,0%,50.60%,23%,54%,23%,0%,45%,0%,10%,0%,22%,0%,0%,1%,0%,23%,0%
1060050,3,3,10,1,4,3,4,4,1,14,4,16,15050,26,1570.5,1.63,578.85,10.44,100%,0%,0%,0%,12%,14%,25%,0%,0%,0%,0%,48.80%,2%,82%,16%,0%,40%,28%,0%,14%,2%,0%,0%,0%,0%,16%,0%
1060130,2,3,5,2,4,2,4,4,1,25,2,15,19400,59,1524.5,3.93,328.81,7.86,48%,42%,10%,0%,20%,0%,0%,0%,0%,0%,0%,79.90%,25%,6%,22%,47%,58%,3%,0%,0%,19%,0%,0%,0%,0%,21%,0%
1060150,4,2,10,2,4,1,5,4,1,17,3,17,21150,22,2012,1.29,961.36,9.51,63%,37%,0%,0%,0%,1%,0%,0%,13%,0%,0%,86.20%,26%,24%,0%,50%,72%,6%,0%,10%,0%,0%,13%,0%,0%,0%,0%
1060230,3,3,10,2,3,5,5,4,1,18,4,18,9600,41,1537.5,2.28,234.15,16.02,98%,2%,0%,4%,0%,20%,3%,0%,0%,0%,20%,52.10%,71%,29%,0%,0%,7%,29%,20%,43%,0%,0%,0%,0%,0%,0%,0%
1060260,4,3,10,2,3,4,8,2,1,12,5,30,14225,93,1541,3.1,152.96,10.83,98%,2%,0%,4%,25%,3%,0%,0%,16%,0%,0%,51.50%,23%,50%,25%,1%,18%,4%,18%,3%,15%,0%,16%,0%,0%,25%,0%
1060330,3,3,10,2,3,4,3,4,2,8,3,4,7650,15,459,3.75,510,6,98%,0%,2%,0%,94%,0%,0%,2%,0%,0%,0%,3.90%,2%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,98%,0%
1060370,4,3,10,2,3,4,6,2,1,19,9,62,16025,138,1706,2.23,116.12,10.65,95%,5%,1%,8%,20%,3%,4%,1%,1%,14%,1%,48.00%,29%,45%,20%,7%,33%,3%,19%,9%,13%,0%,2%,0%,1%,20%,0%
1060420,4,3,10,2,4,4,5,4,1,12,5,21,8850,38,982.5,1.81,232.89,11.1,98%,0%,2%,0%,2%,1%,29%,0%,0%,0%,4%,63.80%,21%,73%,7%,0%,48%,33%,0%,1%,11%,0%,0%,0%,0%,7%,0%
1060590,4,3,10,2,4,3,6,4,1,11,2,20,15425,43,1380.5,2.15,358.72,8.95,73%,27%,0%,0%,0%,0%,3%,0%,0%,0%,0%,97.40%,8%,4%,0%,88%,68%,0%,0%,24%,8%,0%,0%,0%,0%,0%,0%
1060640,3,3,10,2,4,4,5,4,1,17,5,27,15675,88,2123.5,3.26,178.13,13.55,97%,0%,3%,0%,8%,0%,27%,9%,0%,0%,15%,42.10%,45%,43%,9%,3%,28%,23%,15%,2%,11%,0%,0%,0%,11%,9%,0%
1060650,4,1,10,2,4,3,6,4,1,13,2,9,14660,22,1540.8,2.44,666.36,10.51,100%,0%,0%,0%,0%,0%,77%,0%,0%,0%,0%,22.90%,5%,95%,0%,0%,95%,0%,1%,0%,0%,0%,0%,0%,0%,0%,3%
1060720,2,3,9,2,4,5,7,4,1,25,5,19,34025,96,5707,5.05,354.43,16.77,100%,0%,0%,5%,0%,0%,0%,24%,6%,0%,2%,62.70%,58%,42%,0%,0%,10%,38%,0%,2%,20%,0%,6%,0%,24%,0%,0%
1060760,1,3,10,2,3,7,6,2,1,16,2,18,22900,32,2856.75,1.78,715.63,12.47,97%,2%,1%,48%,0%,0%,0%,0%,0%,0%,0%,52.00%,25%,64%,0%,10%,82%,0%,1%,14%,0%,3%,0%,0%,0%,0%,0%
1060810,4,3,10,2,3,4,6,2,1,9,2,14,25875,45,1958,3.21,575,7.57,83%,2%,15%,0%,69%,0%,0%,0%,0%,0%,0%,31.00%,22%,4%,74%,0%,3%,6%,0%,0%,20%,0%,0%,0%,0%,71%,0%
1060920,3,3,17,2,4,5,5,4,1,13,3,14,40475,27,4353,1.93,1499.07,10.75,99%,1%,0%,63%,0%,0%,0%,0%,0%,0%,0%,36.40%,5%,94%,0%,1%,96%,0%,0%,1%,0%,3%,0%,0%,0%,0%,0%
1060980,4,1,4,2,3,4,4,4,1,13,3,17,11025,33,1482,1.94,334.09,13.44,98%,0%,2%,66%,0%,0%,0%,0%,0%,5%,0%,28.10%,41%,56%,0%,3%,82%,0%,14%,0%,0%,3%,0%,0%,0%,0%,0%
1061080,2,3,10,2,3,5,5,2,1,22,3,17,8700,36,1179.5,2.12,241.67,13.56,95%,5%,0%,36%,0%,0%,0%,0%,21%,0%,0%,37.10%,32%,68%,0%,0%,48%,1%,0%,26%,0%,3%,22%,0%,0%,0%,0%
1061130,4,3,16,2,4,2,6,1,1,10,4,12,17950,32,2204.5,2.67,560.94,12.28,94%,5%,1%,3%,0%,1%,0%,0%,0%,0%,0%,97.60%,72%,28%,0%,0%,8%,2%,88%,1%,0%,0%,0%,0%,0%,0%,0%
1061180,3,3,10,2,3,5,6,4,1,28,3,27,20875,65,2085.5,2.41,321.15,9.99,92%,8%,0%,0%,0%,3%,0%,0%,4%,0%,0%,93.50%,37%,18%,0%,45%,56%,3%,17%,3%,16%,0%,4%,0%,0%,0%,0%
1061310,2,3,10,2,4,5,5,1,1,16,6,27,17900,44,2274.75,1.63,406.82,12.71,100%,0%,0%,3%,0%,10%,2%,1%,0%,0%,1%,84.10%,19%,81%,0%,0%,18%,62%,1%,10%,3%,4%,0%,1%,1%,0%,0%
1061380,1,1,4,2,3,6,4,4,1,37,3,4,7575,19,1491,4.75,398.68,19.68,94%,6%,0%,86%,0%,0%,0%,6%,0%,0%,0%,7.90%,95%,5%,0%,0%,91%,0%,0%,0%,0%,3%,0%,0%,6%,0%,0%
1061400,3,3,10,2,3,5,4,2,1,19,5,15,7475,25,921,1.67,299,12.32,87%,12%,1%,43%,2%,6%,0%,0%,0%,0%,2%,47.20%,26%,60%,14%,0%,55%,3%,0%,21%,0%,7%,0%,0%,0%,14%,0%
1061500,4,0,0,0,1,0,0,5,0,0,1,1,4800,11,272,11,436.36,5.67,63%,0%,38%,0%,100%,0%,0%,0%,0%,0%,0%,0.00%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
1061580,1,1,4,2,3,8,3,2,1,53,2,14,6100,32,1887,2.29,190.63,30.93,77%,18%,5%,4%,0%,0%,0%,0%,0%,0%,0%,96.30%,89%,9%,0%,2%,10%,22%,0%,0%,0%,68%,0%,0%,0%,0%,0%
1061660,3,3,10,2,3,5,4,4,1,15,4,14,12100,31,1079,2.21,390.32,8.92,96%,4%,0%,4%,12%,0%,1%,0%,0%,0%,0%,82.60%,3%,68%,29%,0%,10%,68%,0%,0%,0%,0%,0%,0%,0%,22%,0%
1061700,4,3,10,2,2,5,4,1,0,1,5,23,7225,35,755.5,1.52,206.43,10.46,92%,3%,5%,22%,17%,0%,0%,0%,7%,0%,4%,49.80%,12%,65%,17%,6%,37%,11%,6%,4%,11%,0%,7%,2%,0%,17%,5%
1061730,2,1,10,2,3,2,4,2,1,14,5,17,12475,38,1366,2.24,328.29,10.95,100%,0%,0%,8%,0%,0%,63%,0%,0%,1%,1%,27.50%,19%,81%,0%,0%,76%,2%,22%,0%,0%,0%,0%,0%,0%,0%,0%
1061820,3,3,10,2,4,4,5,4,2,13,1,5,22800,24,1651,4.8,950,7.24,83%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100.00%,0%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1061830,4,3,10,2,3,1,3,4,2,9,2,5,16600,24,1248.5,4.8,691.67,7.52,100%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,89.20%,0%,11%,0%,89%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1061940,4,3,10,2,3,1,9,2,1,23,2,6,15300,29,958,4.83,527.59,6.26,67%,14%,19%,0%,64%,0%,0%,0%,0%,0%,0%,36.30%,3%,0%,64%,33%,34%,0%,0%,0%,2%,0%,0%,0%,0%,64%,0%
1062120,4,3,10,2,4,5,6,2,0,3,1,5,11900,25,1242.5,5,476,10.44,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100.00%,1%,99%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%
1062220,4,3,10,2,2,4,5,2,1,4,3,17,12075,36,924.5,2.12,335.42,7.66,100%,0%,0%,27%,48%,0%,0%,0%,0%,0%,0%,24.20%,2%,36%,59%,3%,37%,4%,0%,0%,0%,0%,0%,0%,0%,59%,0%
1062270,3,3,6,2,3,4,4,2,1,15,3,6,16400,52,3517.5,8.67,315.38,21.45,98%,0%,2%,0%,0%,0%,0%,33%,0%,0%,46%,20.90%,99%,1%,0%,0%,6%,46%,0%,0%,0%,0%,0%,0%,49%,0%,0%
1062310,4,2,10,2,3,1,5,2,0,10,2,8,10575,23,663.5,2.88,459.78,6.27,100%,0%,0%,0%,78%,0%,0%,0%,0%,0%,0%,22.00%,0%,6%,89%,6%,6%,6%,0%,0%,0%,0%,0%,0%,0%,89%,0%
1065040,4,3,10,1,3,5,5,2,2,15,4,22,7115,34,546.5,1.55,209.26,7.68,100%,0%,0%,0%,53%,0%,0%,0%,0%,1%,2%,43.80%,10%,12%,74%,4%,7%,29%,1%,1%,3%,0%,1%,0%,0%,56%,1%
1065080,4,3,10,2,2,5,4,2,2,13,2,7,9675,25,831,3.57,387,8.59,60%,37%,3%,0%,0%,0%,0%,0%,0%,0%,2%,98.40%,16%,0%,0%,84%,96%,2%,1%,2%,0%,0%,0%,0%,0%,0%,0%
1065100,3,3,10,2,3,5,4,2,2,17,7,22,9175,33,1037,1.5,278.03,11.3,98%,2%,0%,26%,0%,5%,20%,0%,1%,7%,2%,39.50%,19%,80%,0%,1%,61%,5%,27%,5%,0%,0%,1%,0%,0%,0%,2%
1065160,2,1,4,1,3,5,3,4,1,20,4,9,9325,25,1174.5,2.78,373,12.6,79%,20%,2%,6%,0%,45%,0%,0%,0%,39%,0%,10.70%,9%,87%,0%,4%,10%,0%,39%,51%,0%,0%,0%,0%,0%,0%,0%
1065340,4,0,0,0,2,0,0,5,0,0,2,2,300,2,34,1,150,11.33,100%,0%,0%,67%,0%,0%,0%,0%,0%,0%,0%,33.30%,33%,67%,0%,0%,67%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%
1065370,4,1,10,2,2,1,4,2,1,4,2,5,1200,5,128,1,240,10.67,100%,0%,0%,67%,0%,0%,0%,0%,0%,0%,0%,33.30%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1065450,3,0,0,0,2,0,0,5,0,0,1,2,5250,10,297.5,5,525,5.67,89%,0%,11%,0%,100%,0%,0%,0%,0%,0%,0%,0.00%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
1065510,4,1,4,2,3,5,5,2,2,12,2,19,11875,44,934,2.32,269.89,7.87,82%,3%,14%,0%,67%,0%,0%,0%,0%,0%,0%,33.10%,25%,8%,67%,0%,4%,4%,1%,1%,23%,0%,0%,0%,0%,67%,0%
1065600,4,3,10,1,2,4,5,3,1,10,3,19,12085,58,1381.55,3.05,208.36,11.43,85%,6%,9%,28%,0%,0%,0%,0%,0%,0%,12%,60.10%,15%,85%,0%,0%,80%,17%,1%,0%,0%,0%,0%,0%,1%,0%,1%
1065650,3,1,10,2,3,5,5,2,1,15,4,17,10865,58,1173.5,3.41,187.33,10.8,89%,5%,6%,0%,26%,7%,1%,0%,0%,0%,0%,65.90%,58%,12%,26%,4%,5%,2%,45%,9%,14%,0%,0%,0%,0%,26%,0%
1065660,2,3,10,2,2,7,4,3,1,19,4,15,9200,32,1792,2.13,287.5,19.48,84%,11%,5%,62%,0%,0%,0%,22%,0%,0%,2%,14.40%,81%,16%,0%,2%,72%,2%,0%,0%,0%,0%,0%,0%,26%,0%,0%
1065710,4,3,10,2,2,4,5,2,1,10,2,7,4400,13,276.5,1.86,338.46,6.28,100%,0%,0%,0%,89%,0%,0%,0%,0%,0%,0%,11.40%,5%,7%,89%,0%,0%,7%,0%,0%,5%,0%,0%,0%,0%,89%,0%
1065780,3,3,10,2,3,4,5,2,1,12,3,11,7850,16,984,1.45,490.63,12.54,90%,8%,2%,0%,0%,0%,15%,0%,25%,0%,0%,59.90%,2%,89%,0%,9%,24%,7%,0%,0%,0%,0%,69%,0%,0%,0%,0%
1070040,4,1,4,2,1,3,15,1,2,15,6,21,28925,36,2026.5,1.71,803.47,7.01,76%,18%,6%,0%,56%,1%,0%,0%,1%,0%,0%,41.90%,1%,27%,56%,17%,32%,1%,2%,1%,0%,0%,1%,0%,0%,56%,7%
1070070,3,3,10,2,2,5,5,1,1,18,4,15,17525,27,1232.5,1.8,649.07,7.03,83%,15%,2%,4%,55%,0%,3%,0%,0%,0%,0%,37.80%,2%,10%,55%,33%,43%,3%,0%,0%,0%,0%,0%,0%,0%,55%,0%
1070140,4,3,10,2,4,1,4,4,1,5,2,4,22675,26,1300,6.5,872.12,5.73,85%,0%,15%,0%,97%,0%,0%,0%,0%,0%,0%,3.40%,1%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%
1070270,3,2,10,2,4,4,5,4,1,15,3,15,35250,41,4698.5,2.73,859.76,13.33,94%,0%,6%,88%,0%,0%,0%,0%,0%,0%,1%,11.30%,37%,63%,0%,0%,91%,1%,0%,0%,7%,0%,0%,1%,0%,0%,0%
1070300,1,3,10,2,4,4,7,1,1,34,5,29,20525,41,2457.5,1.41,500.61,11.97,93%,7%,0%,10%,0%,0%,0%,1%,2%,0%,1%,85.90%,13%,80%,0%,7%,24%,63%,5%,0%,2%,0%,2%,3%,1%,0%,0%
1070310,4,3,10,2,4,1,6,1,1,10,3,7,26475,26,2810.5,3.71,1018.27,10.62,91%,0%,9%,73%,0%,0%,0%,0%,0%,2%,0%,24.80%,1%,99%,0%,0%,97%,0%,2%,0%,1%,0%,0%,0%,0%,0%,0%
1070330,2,3,10,2,4,4,6,1,1,14,4,21,12350,35,1453,1.67,352.86,11.77,94%,4%,2%,0%,15%,34%,21%,0%,0%,0%,0%,30.40%,16%,61%,15%,8%,33%,0%,4%,43%,4%,0%,0%,1%,0%,15%,1%
1070420,3,3,10,2,4,4,5,4,2,16,2,14,30925,48,3281,3.43,644.27,10.61,92%,4%,5%,0%,0%,0%,0%,0%,0%,0%,0%,99.50%,27%,67%,0%,6%,73%,0%,0%,0%,24%,0%,0%,1%,0%,0%,0%
1070500,4,3,3,2,4,4,2,4,1,28,2,14,6825,40,748.5,2.86,170.63,10.97,100%,0%,0%,0%,22%,0%,0%,0%,0%,0%,0%,78.00%,10%,64%,26%,0%,2%,1%,58%,0%,7%,0%,0%,0%,4%,26%,0%
1070600,4,3,10,2,4,1,4,4,0,11,7,21,20175,52,2193.5,2.48,387.98,10.87,84%,0%,16%,57%,5%,0%,7%,1%,1%,0%,1%,28.30%,15%,80%,5%,0%,79%,1%,0%,0%,12%,0%,1%,1%,1%,5%,0%
1070660,4,3,17,2,4,3,5,4,1,10,2,10,13975,42,1527.5,4.2,332.74,10.93,95%,3%,2%,0%,0%,0%,0%,0%,1%,0%,0%,98.90%,24%,76%,0%,0%,73%,0%,24%,0%,0%,0%,1%,0%,0%,0%,2%
1070670,3,3,10,2,3,5,7,4,2,7,5,19,14750,39,1222.75,2.05,378.21,8.29,90%,10%,0%,7%,0%,1%,1%,0%,0%,0%,1%,90.80%,5%,15%,0%,80%,91%,3%,0%,5%,1%,0%,0%,0%,0%,0%,1%
1070790,4,3,17,2,1,7,2,4,1,17,5,17,7750,29,1046.5,1.71,267.24,13.5,92%,8%,0%,3%,0%,30%,0%,0%,4%,4%,0%,59.70%,12%,80%,0%,8%,10%,42%,4%,39%,0%,0%,4%,0%,2%,0%,0%
1070880,2,3,10,2,4,4,6,1,1,14,3,11,5700,16,736,1.45,356.25,12.91,100%,0%,0%,0%,0%,0%,0%,0%,34%,0%,1%,64.50%,13%,87%,0%,0%,18%,33%,0%,11%,4%,0%,34%,1%,0%,0%,0%
1070980,3,3,10,2,4,3,4,4,2,14,2,2,10275,24,580,12,428.13,5.64,100%,0%,0%,0%,98%,0%,0%,0%,0%,0%,0%,2.20%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
1071010,4,3,10,2,4,3,4,4,1,18,5,15,25100,48,2770,3.2,522.92,11.04,92%,8%,0%,4%,28%,8%,0%,0%,48%,0%,0%,12.60%,0%,68%,31%,1%,8%,6%,0%,8%,0%,0%,48%,0%,0%,30%,0%
1071090,3,3,10,2,4,4,3,4,1,15,4,19,12275,33,1352,1.74,371.97,11.01,81%,5%,14%,47%,0%,0%,27%,1%,0%,0%,0%,25.30%,6%,94%,0%,0%,95%,0%,0%,0%,3%,0%,1%,0%,1%,0%,1%
1071120,2,3,6,2,4,4,7,3,1,17,2,2,26200,24,2745,12,1091.67,10.48,95%,5%,0%,0%,0%,0%,95%,0%,0%,0%,0%,4.60%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1071340,3,3,10,2,4,5,3,4,1,10,2,5,11700,24,753,4.8,487.5,6.44,91%,0%,9%,0%,86%,0%,0%,0%,0%,0%,0%,14.10%,1%,13%,86%,0%,0%,13%,0%,0%,1%,0%,0%,0%,0%,86%,0%
1071460,1,1,4,2,4,7,6,4,1,25,2,3,26450,69,1935.5,23,383.33,7.32,100%,0%,0%,0%,66%,0%,0%,0%,0%,0%,0%,33.60%,9%,25%,66%,0%,0%,25%,0%,0%,9%,0%,0%,0%,0%,66%,0%
1071500,4,3,10,2,4,4,3,4,1,21,2,15,11875,32,1291.75,2.13,371.09,10.88,92%,8%,0%,29%,0%,0%,0%,0%,0%,0%,0%,70.50%,29%,71%,0%,0%,71%,0%,0%,0%,29%,0%,0%,0%,0%,0%,0%
1071560,3,3,10,2,2,5,5,3,1,21,3,10,8450,43,955.5,4.3,196.51,11.31,100%,0%,0%,20%,0%,4%,0%,0%,0%,0%,0%,76.30%,10%,90%,0%,0%,25%,62%,0%,14%,0%,0%,0%,0%,0%,0%,0%
1071640,2,3,10,2,4,5,7,4,1,27,2,17,20300,34,2116,2,597.06,10.42,100%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,85.70%,9%,91%,0%,0%,92%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%
1071780,3,1,15,2,4,4,5,1,1,17,3,22,12325,56,1581,2.55,220.09,12.83,95%,5%,0%,0%,0%,0%,0%,4%,0%,11%,0%,84.40%,12%,88%,0%,0%,0%,42%,45%,0%,0%,2%,0%,4%,6%,0%,0%
1071800,2,3,10,2,4,4,4,1,1,20,4,32,6825,41,870.5,1.28,166.46,12.75,77%,23%,0%,15%,0%,0%,0%,3%,0%,0%,1%,80.20%,40%,45%,2%,13%,58%,4%,4%,3%,16%,5%,0%,4%,3%,2%,0%
1071840,1,2,10,2,4,5,9,2,1,12,7,39,20100,69,2426.75,1.77,291.3,12.07,91%,3%,6%,4%,13%,8%,29%,1%,0%,0%,13%,32.00%,33%,54%,13%,0%,44%,18%,7%,11%,6%,0%,0%,1%,1%,13%,0%
1071910,2,1,4,2,4,7,7,2,1,35,3,5,14100,24,1485,4.8,587.5,10.53,100%,0%,0%,89%,0%,0%,0%,0%,0%,0%,2%,8.50%,2%,94%,0%,4%,98%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1075060,4,3,10,2,4,4,9,2,1,9,3,15,22350,38,1676.5,2.53,588.16,7.5,86%,12%,2%,8%,9%,0%,0%,0%,0%,0%,0%,83.20%,7%,8%,10%,75%,87%,0%,0%,0%,4%,0%,0%,0%,0%,10%,0%
1075130,4,3,10,2,4,4,6,2,1,14,4,24,19600,40,1836,1.67,490,9.37,92%,6%,3%,4%,2%,0%,0%,0%,20%,0%,0%,74.10%,25%,30%,23%,22%,43%,2%,0%,0%,13%,0%,20%,0%,0%,23%,0%
1075200,3,1,4,2,3,5,6,2,1,20,2,8,34125,27,3650,3.38,1263.89,10.7,100%,0%,0%,54%,0%,0%,0%,0%,0%,0%,0%,45.90%,6%,94%,0%,0%,99%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%
1075220,2,1,4,2,3,5,4,4,1,19,3,28,11825,32,1601.25,1.14,369.53,13.54,72%,22%,5%,14%,0%,0%,0%,0%,0%,9%,0%,76.70%,63%,37%,0%,0%,50%,3%,16%,6%,11%,15%,0%,0%,0%,0%,0%
1075280,4,3,5,2,3,4,5,4,1,10,1,11,14300,38,1174,3.45,376.32,8.21,85%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100.00%,8%,17%,0%,75%,83%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1075350,1,1,5,2,4,1,7,2,1,34,7,31,21175,58,3238.5,1.87,365.09,15.29,93%,7%,0%,6%,1%,0%,5%,1%,9%,0%,9%,70.50%,62%,37%,1%,0%,22%,37%,11%,6%,7%,4%,9%,3%,1%,1%,0%
1075400,4,0,0,0,3,0,0,5,0,0,1,1,900,3,94.5,3,300,10.5,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0.00%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1075420,3,1,4,2,4,3,3,4,1,15,2,10,10850,29,1168.5,2.9,374.14,10.77,100%,0%,0%,66%,0%,0%,0%,0%,0%,0%,0%,34.30%,11%,66%,0%,23%,94%,6%,0%,0%,1%,0%,0%,0%,0%,0%,0%
1075520,4,3,10,2,3,3,4,4,1,12,5,15,16550,31,1655.5,2.07,533.87,10,96%,0%,4%,6%,38%,0%,28%,0%,0%,3%,0%,24.20%,19%,39%,40%,2%,51%,4%,3%,2%,0%,0%,0%,0%,0%,40%,0%
1075610,2,3,14,2,3,5,5,2,1,31,5,23,7825,33,861.5,1.43,237.12,11.01,100%,0%,0%,24%,12%,6%,6%,0%,0%,0%,0%,52.10%,26%,55%,12%,8%,42%,2%,29%,10%,6%,0%,0%,0%,0%,12%,0%
1075630,4,3,10,2,4,4,5,1,1,27,7,33,12925,62,1392.5,1.88,208.47,10.77,93%,4%,3%,22%,34%,1%,5%,5%,0%,7%,0%,25.90%,17%,49%,34%,1%,36%,4%,15%,2%,0%,0%,0%,4%,5%,34%,0%
1075690,4,3,10,2,4,1,4,4,1,11,7,20,6375,29,697.5,1.45,219.83,10.94,81%,15%,5%,24%,7%,5%,14%,0%,11%,2%,0%,37.60%,9%,62%,12%,16%,69%,0%,2%,7%,0%,0%,11%,0%,0%,12%,0%
1075730,3,3,10,2,3,5,5,2,1,22,3,16,15875,49,2417,3.06,323.98,15.23,88%,7%,6%,20%,0%,0%,0%,0%,0%,0%,8%,71.50%,83%,17%,0%,0%,37%,9%,43%,0%,0%,10%,0%,0%,0%,0%,0%
1077110,2,1,10,1,4,5,3,4,2,16,3,7,11125,22,1196.5,3.14,505.68,10.76,96%,0%,4%,80%,0%,0%,0%,0%,4%,0%,0%,16.00%,1%,99%,0%,0%,95%,0%,0%,1%,0%,0%,4%,0%,0%,0%,0%
1077200,4,3,10,2,4,1,2,4,1,7,2,6,11100,48,1273,8,231.25,11.47,100%,0%,0%,55%,0%,0%,0%,0%,0%,0%,0%,45.00%,40%,60%,0%,0%,60%,0%,0%,0%,40%,0%,0%,0%,0%,0%,0%
1077300,4,3,10,2,4,2,9,1,1,5,3,10,22600,25,1747,2.5,904,7.73,100%,0%,0%,21%,20%,0%,0%,0%,0%,0%,0%,58.80%,0%,25%,20%,55%,80%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%
1077390,3,3,10,2,3,4,7,2,1,16,2,15,30375,26,2389,1.73,1168.27,7.87,89%,0%,11%,0%,25%,0%,0%,0%,0%,0%,0%,75.30%,0%,40%,42%,17%,51%,22%,0%,2%,0%,0%,0%,0%,0%,25%,0%
1077480,4,3,10,2,3,5,5,2,1,18,2,4,9200,19,691,4.75,484.21,7.51,100%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,95.70%,2%,14%,0%,84%,98%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%
1077500,3,3,10,2,3,4,2,4,1,13,1,1,7650,17,433.5,17,450,5.67,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0.00%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
